City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,Rain (inches),Snow (inches)
0,Hasaki,JP,35.73,140.83,68.0,100,75,11.41,light intensity shower rain,0.0,0.0
1,Carnarvon,AU,-24.87,113.63,69.8,64,0,9.17,clear sky,0.0,0.0
2,Belmopan,BZ,17.25,-88.77,81.0,81,4,4.16,clear sky,0.0,0.0
3,Talnakh,RU,69.49,88.4,59.0,44,61,15.66,broken clouds,0.0,0.0
4,Punta Arenas,CL,-53.15,-70.92,35.6,93,93,4.7,overcast clouds,0.0,0.0
5,Airai,TL,-8.93,125.41,66.11,67,92,4.43,overcast clouds,0.0,0.0
6,Kaili,ID,-3.46,120.21,75.49,80,93,2.33,overcast clouds,0.0,0.0
7,Albany,US,42.6,-73.97,82.0,54,41,3.2,light rain,0.2,0.0
8,Kodiak,US,57.79,-152.41,53.6,81,90,13.87,overcast clouds,0.0,0.0
9,Skawina,PL,49.98,19.83,63.0,93,75,9.17,broken clouds,0.0,0.0
10,Ushuaia,AR,-54.8,-68.3,35.6,80,63,5.82,broken clouds,0.0,0.0
11,Tuktoyaktuk,CA,69.45,-133.04,50.0,71,75,11.41,broken clouds,0.0,0.0
12,Kilindoni,TZ,-7.91,39.67,78.71,80,95,18.79,overcast clouds,0.0,0.0
13,Busselton,AU,-33.65,115.33,62.01,49,100,23.96,overcast clouds,0.0,0.0
14,Hambantota,LK,6.12,81.12,80.6,88,20,5.82,few clouds,0.0,0.0
15,Havelock,US,34.88,-76.9,79.0,93,0,4.79,light rain,0.16,0.0
16,Bredasdorp,ZA,-34.53,20.04,50.0,93,99,4.14,overcast clouds,0.0,0.0
17,Mahebourg,MU,-20.41,57.7,69.8,83,40,10.29,shower rain,0.0,0.0
18,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,93,90,9.17,overcast clouds,0.0,0.0
19,Mataura,NZ,-46.19,168.86,39.0,83,0,3.0,clear sky,0.0,0.0
20,Adrar,MR,20.5,-10.07,97.74,11,1,13.51,clear sky,0.0,0.0
21,Gerash,IR,27.67,54.14,73.4,28,0,4.36,clear sky,0.0,0.0
22,Lebu,CL,-37.62,-73.65,50.86,84,97,17.67,overcast clouds,0.0,0.0
23,Sobolevo,RU,54.43,31.9,55.4,91,58,8.84,broken clouds,0.0,0.0
24,Port Alfred,ZA,-33.59,26.89,57.99,92,49,5.01,scattered clouds,0.0,0.0
25,Mar Del Plata,AR,-38.0,-57.56,50.0,93,20,3.36,few clouds,0.0,0.0
26,Tura,IN,25.52,90.22,78.17,86,2,4.94,clear sky,0.0,0.0
27,Ekibastuz,KZ,51.67,75.37,64.56,44,19,11.72,few clouds,0.0,0.0
28,Marawi,PH,8.0,124.29,84.0,75,22,4.0,few clouds,0.0,0.0
29,Shiraz,IR,29.6,52.54,69.8,21,0,4.7,clear sky,0.0,0.0
30,Sao Filipe,CV,14.9,-24.5,76.55,82,20,9.6,few clouds,0.0,0.0
31,Thompson,CA,55.74,-97.86,60.8,82,75,5.82,broken clouds,0.0,0.0
32,New Norfolk,AU,-42.78,147.06,55.0,93,99,4.07,moderate rain,1.78,0.0
33,Arlit,NE,18.74,7.39,90.05,11,44,4.27,scattered clouds,0.0,0.0
34,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,40,6.44,scattered clouds,0.0,0.0
35,Padang,ID,-0.95,100.35,79.09,80,96,4.72,light rain,0.33,0.0
36,Bluff,NZ,-46.6,168.33,39.0,83,0,3.0,clear sky,0.0,0.0
37,Shibetsu,JP,43.66,145.13,57.2,76,75,9.17,broken clouds,0.0,0.0
38,Griffith,US,41.53,-87.42,77.0,64,1,4.7,clear sky,0.0,0.0
39,Vaini,TO,-21.2,-175.2,82.4,83,40,6.93,scattered clouds,0.0,0.0
40,Bengkulu,ID,-3.8,102.27,77.88,86,100,3.96,overcast clouds,0.0,0.0
41,Bishop Auckland,GB,54.66,-1.68,52.0,92,95,8.08,overcast clouds,0.0,0.0
42,Ganzhou,CN,28.82,115.43,82.36,86,100,3.56,light rain,0.18,0.0
43,The Valley,AI,18.22,-63.06,84.2,79,40,13.87,scattered clouds,0.0,0.0
44,Clyde River,CA,70.47,-68.59,37.4,93,1,3.36,clear sky,0.0,0.0
45,Esperance,AU,-33.87,121.9,46.4,70,0,17.22,clear sky,0.0,0.0
46,Georgetown,MY,5.41,100.34,84.2,83,20,5.82,few clouds,0.0,0.0
47,Ilulissat,GL,69.22,-51.1,48.2,45,4,2.24,clear sky,0.0,0.0
48,Butaritari,KI,3.07,172.79,83.43,76,0,14.74,clear sky,0.0,0.0
49,Puerto Ayora,EC,-0.74,-90.35,70.0,94,10,1.99,clear sky,0.0,0.0
50,Dikson,RU,73.51,80.55,45.03,74,100,15.88,overcast clouds,0.0,0.0
51,Rikitea,PF,-23.12,-134.97,70.93,67,86,18.5,overcast clouds,0.0,0.0
52,Metro,ID,-5.11,105.31,78.08,87,82,2.53,broken clouds,0.0,0.0
53,Rio Gallegos,AR,-51.62,-69.22,33.8,86,99,5.82,overcast clouds,0.0,0.0
54,Coquimbo,CL,-29.95,-71.34,55.4,93,93,2.24,overcast clouds,0.0,0.0
55,Bolpur,IN,23.67,87.72,83.19,78,0,8.75,clear sky,0.0,0.0
56,Vestmanna,FO,62.16,-7.17,50.0,100,88,10.29,overcast clouds,0.0,0.0
57,Alice Springs,AU,-23.7,133.88,55.4,50,0,12.75,clear sky,0.0,0.0
58,Hailar,CN,49.2,119.7,67.41,52,17,9.6,few clouds,0.0,0.0
59,Mumford,GH,5.26,-0.76,77.27,88,100,10.38,light rain,0.24,0.0
60,Portland,US,45.52,-122.68,75.2,47,20,10.29,few clouds,0.0,0.0
61,Kapaa,US,22.08,-159.32,82.99,69,20,12.75,few clouds,0.0,0.0
62,Nyrob,RU,60.73,56.72,46.26,71,67,7.09,broken clouds,0.0,0.0
63,Isangel,VU,-19.55,169.27,78.8,74,40,11.41,scattered clouds,0.0,0.0
64,Castro,BR,-24.79,-50.01,57.65,83,0,2.73,clear sky,0.0,0.0
65,Viedma,AR,-40.81,-63.0,46.45,54,30,7.56,scattered clouds,0.0,0.0
66,Nikolskoye,RU,59.7,30.79,57.2,67,0,4.47,clear sky,0.0,0.0
67,Victoria,HK,22.29,114.16,89.6,66,20,11.41,few clouds,0.0,0.0
68,Fortuna,US,40.6,-124.16,62.01,87,90,9.17,overcast clouds,0.0,0.0
69,Hilo,US,19.73,-155.09,84.2,54,1,10.29,clear sky,0.0,0.0
70,Jinchang,CN,38.5,102.17,65.95,44,83,2.91,broken clouds,0.0,0.0
71,Komsomolskiy,UZ,40.43,71.72,71.6,35,0,4.7,clear sky,0.0,0.0
72,Faanui,PF,-16.48,-151.75,77.76,82,35,23.13,scattered clouds,0.0,0.0
73,Concordia,AR,-31.39,-58.02,55.99,86,25,1.99,scattered clouds,0.0,0.0
74,Hobart,AU,-42.88,147.33,55.4,93,75,13.87,shower rain,4.06,0.0
75,East London,ZA,-33.02,27.91,61.7,64,35,9.44,scattered clouds,0.0,0.0
76,Bara,NG,10.37,10.73,78.39,76,41,13.62,scattered clouds,0.0,0.0
77,Saskylakh,RU,71.92,114.08,62.08,54,97,8.88,overcast clouds,0.0,0.0
78,Hobyo,SO,5.35,48.53,79.23,69,98,23.6,overcast clouds,0.0,0.0
79,Khandwa,IN,21.83,76.33,81.03,74,85,13.76,overcast clouds,0.0,0.0
80,Vila Velha,BR,-20.33,-40.29,70.0,88,0,5.82,clear sky,0.0,0.0
81,Domoni,KM,-12.26,44.53,76.89,84,90,14.85,moderate rain,1.02,0.0
82,Coracao De Jesus,BR,-16.69,-44.37,61.77,63,87,6.67,overcast clouds,0.0,0.0
83,Atuona,PF,-9.8,-139.03,80.4,72,3,11.34,clear sky,0.0,0.0
84,Sitka,US,57.05,-135.33,53.6,71,90,13.87,overcast clouds,0.0,0.0
85,Khatanga,RU,71.97,102.5,64.42,53,64,7.49,broken clouds,0.0,0.0
86,Laguna,US,38.42,-121.42,93.0,29,1,13.87,clear sky,0.0,0.0
87,Mamlyutka,KZ,54.94,68.54,50.0,76,0,6.71,clear sky,0.0,0.0
88,Djibo,BF,14.1,-1.63,96.82,22,61,15.17,broken clouds,0.0,0.0
89,Maxixe,MZ,-23.86,35.35,63.07,75,0,3.78,clear sky,0.0,0.0
90,Avarua,CK,-21.21,-159.78,77.0,53,98,16.11,overcast clouds,0.0,0.0
91,Half Moon Bay,US,37.46,-122.43,71.01,87,90,6.93,mist,0.0,0.0
92,Prince Rupert,CA,54.32,-130.32,55.4,76,1,2.24,clear sky,0.0,0.0
93,Severo-Kurilsk,RU,50.68,156.12,49.32,78,100,3.91,overcast clouds,0.0,0.0
94,Farrukhnagar,IN,17.08,78.2,77.0,94,75,6.93,mist,0.0,0.0
95,Khirkiya,IN,22.17,76.86,81.45,77,100,7.96,light rain,0.27,0.0
96,Samarai,PG,-10.62,150.67,80.31,83,44,10.98,scattered clouds,0.0,0.0
97,Abalak,RU,58.13,68.59,44.02,90,10,6.17,clear sky,0.0,0.0
98,Bilma,NE,18.69,12.92,83.97,14,0,3.94,clear sky,0.0,0.0
99,Sur,OM,22.57,59.53,85.3,67,41,7.94,scattered clouds,0.0,0.0
100,Dakar,SN,14.69,-17.44,80.6,83,0,4.7,clear sky,0.0,0.0
101,Nanhai,CN,30.13,111.78,68.0,98,100,7.83,heavy intensity rain,6.69,0.0
102,Cape Town,ZA,-33.93,18.42,57.0,93,100,8.05,overcast clouds,0.0,0.0
103,Upernavik,GL,72.79,-56.15,41.52,66,100,6.31,overcast clouds,0.0,0.0
104,Pionerskiy,RU,54.95,20.23,62.6,100,40,2.24,scattered clouds,0.0,0.0
105,Ribeira Grande,PT,38.52,-28.7,66.31,87,7,14.23,clear sky,0.0,0.0
106,Cabo San Lucas,MX,22.89,-109.91,82.99,37,5,6.93,clear sky,0.0,0.0
107,Longyearbyen,SJ,78.22,15.64,44.6,65,20,2.24,few clouds,0.0,0.0
108,Saldanha,ZA,-33.01,17.94,50.0,93,100,1.12,overcast clouds,0.0,0.0
109,Qaanaaq,GL,77.48,-69.36,39.24,72,47,2.66,scattered clouds,0.0,0.0
110,Flin Flon,CA,54.77,-101.86,60.89,63,99,3.78,overcast clouds,0.0,0.0
111,Dalvik,IS,65.97,-18.53,55.4,71,75,11.41,broken clouds,0.0,0.0
112,Barrow,US,71.29,-156.79,37.4,86,90,12.75,overcast clouds,0.0,0.0
113,Aksu,CN,41.12,80.26,76.51,18,0,2.15,clear sky,0.0,0.0
114,Saint George,US,37.1,-113.58,100.4,8,1,12.75,clear sky,0.0,0.0
115,Salalah,OM,17.02,54.09,84.2,79,75,3.36,broken clouds,0.0,0.0
116,Acajutla,SV,13.59,-89.83,78.8,78,20,1.66,few clouds,0.0,0.0
117,Thinadhoo,MV,0.53,72.93,83.37,72,100,6.91,overcast clouds,0.0,0.0
118,Arraial Do Cabo,BR,-22.97,-42.03,73.24,86,0,15.05,clear sky,0.0,0.0
119,Kokopo,PG,-4.35,152.26,84.85,72,0,7.76,light rain,0.11,0.0
120,Kaitangata,NZ,-46.28,169.85,44.01,69,0,7.0,clear sky,0.0,0.0
