City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
12,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Champerico,GT,86.56,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
17,Phan Thiet,VN,78.19,overcast clouds,10.93,108.1,Hotel Saigon-PT
18,Chapais,CA,89.6,few clouds,49.78,-74.85,Hôtel Opémiska
20,Elko,US,82.4,clear sky,41.0,-115.5,
22,Laguna,US,90.0,broken clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
23,Timberlake,US,87.01,scattered clouds,37.32,-79.26,Timberlake Motel
32,Sterling,US,87.01,scattered clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
33,Acarau,BR,81.82,few clouds,-2.89,-40.12,castelo pizzaria
39,Valle De Banderas,MX,87.01,few clouds,20.8,-105.23,Rancho los Nietos
40,Veracruz,MX,90.0,broken clouds,19.33,-96.67,El Carrizal
42,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
55,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Erenhot,CN,79.11,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
63,Yellowknife,CA,77.0,few clouds,62.46,-114.35,The Explorer Hotel
73,Lorengau,PG,80.15,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
75,Jamestown,US,84.2,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
76,Buta,CD,76.84,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
77,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
79,Hithadhoo,MV,83.7,broken clouds,-0.6,73.08,Scoop Guest House
81,Butaritari,KI,83.61,overcast clouds,3.07,172.79,Isles Sunset Lodge
82,Kudat,MY,77.0,broken clouds,6.88,116.85,Dream Garden Hotel
90,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
95,Boa Vista,BR,84.2,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
97,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
104,Bethel,US,89.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
107,Kanth,IN,86.54,clear sky,29.07,78.63,Sagar Hotel
113,Atuona,PF,80.29,clear sky,-9.8,-139.03,Villa Enata
116,Broome,US,86.0,few clouds,42.25,-75.83,Chenango Valley State Park
118,Jalu,LY,78.91,clear sky,29.03,21.55,Jalu Hotel
121,Caramay,PH,80.22,overcast clouds,10.18,119.24,Peace and Love Beach Club
128,Cherskiy,RU,78.24,scattered clouds,68.75,161.3,Gostinitsa
129,Faanui,PF,78.1,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
139,Sao Filipe,CV,76.84,clear sky,14.9,-24.5,Tortuga B&B
142,Saint Anthony,US,84.99,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
146,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
160,Acacias,CO,84.2,scattered clouds,3.99,-73.76,Hotel Iraqúa
